"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979"
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2957,3044,3412,3818,4129,4583,5207,5537,6224,6667,7278
"11540","Appleton, WI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",508263,550635,581862,638012,723046,800861,877279,977626,1092940,1211224,1398104
"11540","Appleton, WI (Metropolitan Statistical Area)","2","Population (persons) 1/",143488,147307,148324,149228,148989,150556,153496,152296,154282,155590,156784
"11540","Appleton, WI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3542,3738,3923,4275,4853,5319,5715,6419,7084,7785,8917
"11700","Asheville, NC (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",730298,785483,861652,973755,1111269,1218978,1318910,1474607,1653861,1859539,2064325
"11700","Asheville, NC (Metropolitan Statistical Area)","2","Population (persons) 1/",244960,246263,251104,253306,257291,260984,264807,266999,270770,275655,279654
"11700","Asheville, NC (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2981,3190,3431,3844,4319,4671,4981,5523,6108,6746,7382
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",254551,287152,321923,363661,415511,470958,520622,579382,641865,719753,790245
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",92643,94672,97214,100987,105560,107666,108211,106120,107309,108452,109148
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2748,3033,3311,3601,3936,4374,4811,5460,5981,6637,7240
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",7004292,7695760,8534310,9754566,11042213,12157534,13096935,14504859,16314364,18510403,20856158
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",1830794,1862083,1923687,1986477,2055233,2109395,2127779,2152893,2194331,2234980,2295738
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3826,4133,4436,4910,5373,5764,6155,6737,7435,8282,9085
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",694634,782866,871879,964555,1081593,1173626,1283784,1421862,1575347,1779776,2069787
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","2","Population (persons) 1/",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3978,4450,4849,5214,5778,6206,6773,7499,8321,9312,10720
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",153537,169722,189457,214225,243444,273005,303672,344275,397165,457487,505368
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",55869,61262,61896,62158,64588,68823,69373,69980,71861,74069,75990
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2748,2770,3061,3446,3769,3967,4377,4920,5527,6176,6650
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1118535,1151713,1243591,1347080,1500532,1683378,1813963,2080859,2283948,2550572,2884567
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","2","Population (persons) 1/",329558,330105,330340,328410,332508,340794,348901,359074,364786,374244,383370
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3394,3489,3765,4102,4513,4940,5199,5795,6261,6815,7524
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1287556,1475763,1672669,1931675,2213246,2498475,2874184,3295435,3657562,4258129,4928128
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",382835,401871,419249,447971,473351,485969,497356,517680,532052,538668,571520
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3363,3672,3990,4312,4676,5141,5779,6366,6874,7905,8623
"12540","Bakersfield, CA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1273392,1357079,1464866,1593327,1818667,2156400,2343300,2763966,2921259,3216417,3830294
"12540","Bakersfield, CA (Metropolitan Statistical Area)","2","Population (persons) 1/",325549,330868,336227,336833,343007,344840,356866,366932,372217,377990,393198
"12540","Bakersfield, CA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3912,4102,4357,4730,5302,6253,6566,7533,7848,8509,9741
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",8660693,9420898,10314326,11336168,12535270,13835894,14987764,16344005,17827450,19889912,21951910
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","2","Population (persons) 1/",2072804,2094838,2132113,2152232,2167899,2179392,2184332,2188964,2201877,2204362,2209160
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4178,4497,4838,5267,5782,6349,6861,7467,8096,9023,9937
"12620","Bangor, ME (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",373889,412911,446233,493117,547346,609213,676072,768008,825136,906943,1012641
"12620","Bangor, ME (Metropolitan Statistical Area)","2","Population (persons) 1/",125729,125812,127935,129035,130797,132038,133434,135542,136134,136912,137157
"12620","Bangor, ME (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2974,3282,3488,3822,4185,4614,5067,5666,6061,6624,7383
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",417658,467126,537720,614361,686560,756444,852195,966532,1092583,1240807,1423153
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","2","Population (persons) 1/",94791,97632,99244,99237,111093,123816,129437,133142,138071,140966,146265
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4406,4785,5418,6191,6180,6109,6584,7259,7913,8802,9730
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1458064,1576705,1725983,1908876,2128227,2510325,2860666,3361442,3787782,4310005,4894769
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","2","Population (persons) 1/",482227,486888,496250,509145,517875,528099,538564,553502,570000,582400,599371
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3024,3238,3478,3749,4110,4754,5312,6073,6645,7400,8167
"12980","Battle Creek, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",557383,576982,628950,692203,761421,806447,895883,980447,1061283,1163902,1263112
"12980","Battle Creek, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",141960,141561,140647,141963,142349,143021,142640,142359,142772,143463,142341
"12980","Battle Creek, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3926,4076,4472,4876,5349,5639,6281,6887,7433,8113,8874
"13020","Bay City, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",414066,420933,464555,499669,561721,621936,662994,755195,862681,949558,1037742
"13020","Bay City, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",116323,117502,118513,119094,119824,120548,120441,120560,121500,122057,121074
"13020","Bay City, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3560,3582,3920,4196,4688,5159,5505,6264,7100,7780,8571
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1161487,1268763,1361243,1465378,1595091,1866689,2099877,2433248,2732982,3028635,3398038
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",346313,347694,349841,351292,345976,346501,351699,357229,363114,364725,370911
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3354,3649,3891,4171,4610,5387,5971,6811,7527,8304,9161
"13220","Beckley, WV (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",294496,342410,383565,443014,494158,546723,645359,746571,810403,912215,1002767
"13220","Beckley, WV (Metropolitan Statistical Area)","2","Population (persons) 1/",119522,119794,122399,126518,128707,129362,132602,138390,142246,144129,145047
"13220","Beckley, WV (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2464,2858,3134,3502,3839,4226,4867,5395,5697,6329,6913
"13380","Bellingham, WA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",280795,321153,369028,389183,434564,490746,557944,635961,703824,799446,911802
"13380","Bellingham, WA (Metropolitan Statistical Area)","2","Population (persons) 1/",80696,82606,85688,89443,89700,91043,93332,96070,98453,101482,104380
"13380","Bellingham, WA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3480,3888,4307,4351,4845,5390,5978,6620,7149,7878,8735
"13460","Bend, OR (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",108129,124676,143502,168880,196159,221209,256795,308998,369658,443826,525431
"13460","Bend, OR (Metropolitan Statistical Area)","2","Population (persons) 1/",29726,30882,32835,34804,37682,40155,42422,44686,47969,53349,58452
"13460","Bend, OR (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3638,4037,4370,4852,5206,5509,6053,6915,7706,8319,8989
"13740","Billings, MT (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",351872,387724,428239,494251,546169,621923,696796,779439,884007,1010416,1127171
"13740","Billings, MT (Metropolitan Statistical Area)","2","Population (persons) 1/",98724,99590,102264,104337,105903,109243,111813,114570,117033,120831,122169
"13740","Billings, MT (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3564,3893,4188,4737,5157,5693,6232,6803,7553,8362,9226
"13780","Binghamton, NY (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1026593,1096008,1169453,1235754,1332843,1441396,1582300,1693251,1846831,2028177,2224229
"13780","Binghamton, NY (Metropolitan Statistical Area)","2","Population (persons) 1/",267973,268851,270746,267509,267518,265630,268656,269063,268668,267705,266989
"13780","Binghamton, NY (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3831,4077,4319,4619,4982,5426,5890,6293,6874,7576,8331
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2472030,2696770,2956117,3278494,3685599,4155513,4647467,5167650,5701076,6415085,7158385
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",759874,777652,786842,790951,801240,806250,817389,828889,840643,850344,858633
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3253,3468,3757,4145,4600,5154,5686,6234,6782,7544,8337
"13900","Bismarck, ND (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",206417,226639,255405,296070,350444,386378,438879,491869,554001,650694,731122
"13900","Bismarck, ND (Metropolitan Statistical Area)","2","Population (persons) 1/",63153,63474,64359,65363,67396,69160,71634,74201,76261,77840,80547
"13900","Bismarck, ND (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3269,3571,3968,4530,5200,5587,6127,6629,7265,8359,9077
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","1","Personal income (thousands of dollars)",302940,308501,330774,372444,426571,471225,521040,581487,651281,742546,831810
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","2","Population (persons) 1/",104229,105279,108059,110811,114478,118956,121908,123619,126002,128476,129849
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","3","Per capita personal income (dollars) 2/",2906,2930,3061,3361,3726,3961,4274,4704,5169,5780,6406
"14010","Bloomington, IL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",397983,426195,474637,516881,608697,679627,796858,851569,926750,996868,1118691
"14010","Bloomington, IL (Metropolitan Statistical Area)","2","Population (persons) 1/",102599,105073,107920,113024,114221,114945,114040,115432,116848,117535,118173
"14010","Bloomington, IL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3879,4056,4398,4573,5329,5913,6988,7377,7931,8481,9467
"14020","Bloomington, IN (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",275902,295962,339662,372513,417304,449449,486091,551508,620179,707249,778383
"14020","Bloomington, IN (Metropolitan Statistical Area)","2","Population (persons) 1/",94038,97656,99712,103553,104311,106218,103965,105944,109821,112226,113041
"14020","Bloomington, IN (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2934,3031,3406,3597,4001,4231,4676,5206,5647,6302,6886
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",232638,250744,267673,303979,344214,382390,412614,450624,489756,546098,611134
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","2","Population (persons) 1/",71469,71882,73233,74511,75213,76162,76926,77069,77452,77789,78394
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3255,3488,3655,4080,4577,5021,5364,5847,6323,7020,7796
"14260","Boise City, ID (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",693016,779735,875459,996230,1146673,1319146,1511201,1703255,1919604,2225440,2448845
"14260","Boise City, ID (Metropolitan Statistical Area)","2","Population (persons) 1/",188662,192885,202549,211579,219916,230081,236798,246322,255984,267147,275953
"14260","Boise City, ID (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3673,4042,4322,4709,5214,5733,6382,6915,7499,8330,8874
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",17303274,18740176,20020412,21594282,23369418,25216971,26958682,28988024,31575637,34874102,38842908
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","2","Population (persons) 1/",3885892,3928508,3953760,3980347,3982918,3969705,3953504,3946719,3947472,3944294,3942625
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4453,4770,5064,5425,5867,6352,6819,7345,7999,8842,9852
"14500","Boulder, CO (Metropolitan Statistical Area) *","1","Personal income (thousands of dollars)",538596,600343,680907,768819,864808,979831,1109846,1245164,1434420,1683852,1959091
"14500","Boulder, CO (Metropolitan Statistical Area) *","2","Population (persons) 1/",129577,133342,140808,151309,159509,166449,166670,169117,178121,183432,187125
"14500","Boulder, CO (Metropolitan Statistical Area) *","3","Per capita personal income (dollars) 2/",4157,4502,4836,5081,5422,5887,6659,7363,8053,9180,10469
"14540","Bowling Green, KY (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",216233,238044,265227,303342,350258,387810,427934,485803,541776,620309,707127
"14540","Bowling Green, KY (Metropolitan Statistical Area)","2","Population (persons) 1/",87103,89652,93520,95307,95464,96904,98351,100546,102335,104207,105640
"14540","Bowling Green, KY (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2482,2655,2836,3183,3669,4002,4351,4832,5294,5953,6694
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",460713,486434,507925,550509,629457,742964,858418,955374,1101571,1260302,1449681
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","2","Population (persons) 1/",101363,101617,101606,102225,112257,111965,119117,120976,125902,132640,140733
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",4545,4787,4999,5385,5607,6636,7207,7897,8749,9502,10301
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",4595442,4860504,5101426,5483660,5883424,6352715,6814123,7449088,8289329,9308626,10522084
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","2","Population (persons) 1/",780867,792934,792758,788034,786524,788324,794554,797444,810423,802642,802656
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",5885,6130,6435,6959,7480,8059,8576,9341,10228,11597,13109
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",281577,313753,365169,413943,485003,571166,653609,729412,800019,943986,1075955
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",138947,141196,147753,157489,166939,172211,182806,189415,194722,198941,205544
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2027,2222,2471,2628,2905,3317,3575,3851,4109,4745,5235
"15260","Brunswick, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",191539,217294,248873,275680,297353,314290,320878,367868,412371,469980,531687
"15260","Brunswick, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",63379,64102,65809,67537,68446,67760,66301,66832,68260,68464,70289
"15260","Brunswick, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3022,3390,3782,4082,4344,4638,4840,5504,6041,6865,7564
"15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",5348331,5668577,6108318,6463718,7018358,7575057,8181205,8816270,9606553,10367645,11384785
"15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)","2","Population (persons) 1/",1344024,1351513,1354743,1347603,1333861,1318687,1312980,1303095,1289794,1276092,1263570
"15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3979,4194,4509,4796,5262,5744,6231,6766,7448,8125,9010
"15500","Burlington, NC (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",329879,350273,381007,424017,469926,504551,536960,590057,628721,697983,781945
"15500","Burlington, NC (Metropolitan Statistical Area)","2","Population (persons) 1/",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048
"15500","Burlington, NC (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3434,3617,3868,4251,4702,5083,5466,5977,6383,7083,7895
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",464806,516335,556777,606443,654967,706184,791194,880961,960758,1114324,1265516
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","2","Population (persons) 1/",130602,134673,137553,140585,140865,141657,143608,145209,147509,149023,151554
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3559,3834,4048,4314,4650,4985,5509,6067,6513,7478,8350
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",174470,205033,230307,259542,278652,314963,313494,347827,383723,429820,464968
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","2","Population (persons) 1/",46838,47840,50127,50805,49928,51667,52738,53724,54522,56744,58541
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3725,4286,4594,5109,5581,6096,5944,6474,7038,7575,7943
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1460965,1539014,1594880,1767736,1991029,2228143,2393365,2607650,2889951,3219758,3618783
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","2","Population (persons) 1/",391478,394389,396830,394589,404798,406348,402470,400573,401304,404117,402887
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3732,3902,4019,4480,4919,5483,5947,6510,7201,7967,8982
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",363834,424777,481303,566888,700122,822773,916640,1045610,1224202,1483214,1761290
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","2","Population (persons) 1/",99376,107430,116946,127672,137276,146825,154905,159632,173998,182920,192597
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",3661,3954,4116,4440,5100,5604,5917,6550,7036,8109,9145
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",197277,222083,242481,262465,296723,330521,379546,422961,463456,526451,589997
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","2","Population (persons) 1/",70905,70436,71899,73647,73297,74588,74605,76817,77598,78829,79941
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",2782,3153,3373,3564,4048,4431,5087,5506,5973,6678,7380
