"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","1","Personal income (thousands of dollars)",19569699,20569010,21351783,22366283,23847822,25413565,27515738,28849578,30367135,30272517,30782149,32072865,32448367,32072019,33912795,35190876,36515486,37242584,38559688,40406818,43818822
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","2","Population (persons) 1/",732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889581,898123,902091,905143,904750,906283,909571,912592,915269,918865,923630
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","3","Per capita personal income (dollars) 2/",26727,27724,28179,28967,30216,31392,33102,33955,35172,34540,34603,35711,35970,35433,37483,38830,40146,40810,42129,43975,47442
"10780","Alexandria, LA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3400066,3712780,3845010,3906470,4197276,4596706,4825839,5054135,5372766,5305778,5409858,5691867,5972060,5990723,6096284,6180841,6271941,6315143,6532743,6767025,7233461
"10780","Alexandria, LA (Metropolitan Statistical Area)","2","Population (persons) 1/",145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154088,154416,154424,154654,154606,154148,154162,153602,152834,152152,150821
"10780","Alexandria, LA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",23420,25587,26441,26754,28558,31074,31929,33359,35245,34641,35109,36861,38673,38736,39431,40097,40684,41114,42744,44475,47961
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",22603250,24300177,25052772,25988799,27430360,29363798,30833117,33389669,34630212,33407120,34750711,35946602,36566423,37065336,38616639,40422266,41715955,43009689,45130485,46748436,50100911
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2","Population (persons) 1/",741817,748705,756628,766938,777277,787738,798586,807578,814050,817779,821768,824860,826157,825817,828625,830506,833649,838596,843279,844403,846399
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",30470,32456,33111,33886,35290,37276,38610,41345,42541,40851,42288,43579,44261,44883,46603,48672,50040,51288,53518,55363,59193
"11020","Altoona, PA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3215690,3259007,3348867,3479545,3647106,3780807,3903106,4099495,4250268,4303724,4457638,4722568,4804848,4780079,4969009,5212221,5278040,5418644,5667069,5801145,6303942
"11020","Altoona, PA (Metropolitan Statistical Area)","2","Population (persons) 1/",128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127049,126990,126569,125869,125309,124637,123779,123173,122567,121942,121007
"11020","Altoona, PA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",24932,25368,26239,27322,28674,29834,30733,32267,33437,33845,35086,37189,37962,37977,39654,41819,42641,43992,46236,47573,52096
"11100","Amarillo, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",5549165,6108166,6308358,6576882,6688393,7131130,7625580,8119578,9060734,8794080,9637796,10295132,10604532,10799173,11418105,11507721,11511826,11927761,12381837,12958718,13584645
"11100","Amarillo, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",229215,230351,232326,235138,237566,240380,242656,244608,246458,249373,252666,255996,257842,258939,260859,261656,262907,264131,264036,264423,265761
"11100","Amarillo, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",24209,26517,27153,27970,28154,29666,31425,33194,36764,35265,38144,40216,41128,41705,43771,43980,43787,45159,46895,49008,51116
"11180","Ames, IA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2862828,2932174,3038805,3166969,3350088,3448830,3722039,3956967,4200932,4020328,4013386,4327442,4774502,4658707,4843628,4992695,5020405,5134496,5362981,5589890,5881181
"11180","Ames, IA (Metropolitan Statistical Area)","2","Population (persons) 1/",106403,106509,107971,108300,109126,109384,111210,113093,114285,115645,115932,117451,118184,120232,122197,123212,123446,123833,123105,123779,124514
"11180","Ames, IA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",26906,27530,28145,29243,30699,31530,33469,34989,36758,34764,34618,36845,40399,38748,39638,40521,40669,41463,43564,45160,47233
"11260","Anchorage, AK (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",10952722,11826499,12506020,13061196,13785083,14759944,15854673,17150319,18988778,18989149,20307816,21465330,22023910,21725063,22952804,23841211,23374471,23664787,24553543,25116769,25786696
"11260","Anchorage, AK (Metropolitan Statistical Area)","2","Population (persons) 1/",320618,326081,332582,337730,345245,350903,358718,360194,365633,374562,383491,388434,392524,397741,398832,399499,402330,401544,398702,397368,397308
"11260","Anchorage, AK (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",34161,36269,37603,38673,39928,42063,44198,47614,51934,50697,52955,55261,56108,54621,57550,59678,58098,58934,61584,63208,64904
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",11776425,12288891,12730052,13325699,13506829,13799026,14304031,14737620,15293344,14330929,15869987,15865909,16999507,17138025,17984791,19090336,19922960,20876099,21738842,22499890,23327716
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,345980,350072,352685,356474,360523,363555,366960,369703,370548,368242,366473
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",36305,37381,38256,39642,39794,40320,41579,42679,44770,41718,45870,45322,48200,48077,49885,52510,54292,56467,58667,61101,63655
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2453535,2576061,2689343,2832888,3016269,3156868,3308983,3513133,3634409,3578268,3672478,3743496,3784756,3734209,3819816,3959567,3995001,4075754,4169786,4301394,4560901
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118420,117767,117227,116528,115991,115550,115036,114746,114298,114070,113469
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",22088,23152,24093,25135,26584,27576,28677,30231,30991,30231,31012,31787,32286,32046,32932,34267,34728,35520,36482,37708,40195
"11540","Appleton, WI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",6053028,6446834,6694151,6885381,7149651,7443509,7832967,8240126,8613142,8445772,8714612,9293171,9690932,9837011,10366307,10823436,11180705,11597863,12081656,12554897,13140658
"11540","Appleton, WI (Metropolitan Statistical Area)","2","Population (persons) 1/",202618,205676,208747,211350,213592,215925,218441,220368,222402,224632,225884,227500,228613,229950,231607,233134,234212,235822,237123,238039,238975
"11540","Appleton, WI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",29874,31345,32068,32578,33473,34473,35859,37393,38728,37598,38580,40849,42390,42779,44758,46426,47738,49181,50951,52743,54988
"11700","Asheville, NC (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",9789426,10198705,10320437,10593378,11428673,12117490,13209535,14034797,14490759,14058396,14392166,14993048,15866833,15922993,17024756,18066379,18906096,19795385,20953629,22045861,23242784
"11700","Asheville, NC (Metropolitan Statistical Area)","2","Population (persons) 1/",370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425365,428220,431151,436078,440012,445002,450828,455609,460112,463544,466634
"11700","Asheville, NC (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",26414,27204,27172,27503,29251,30568,32653,34078,34712,33313,33835,35012,36801,36514,38692,40598,41936,43448,45540,47559,49809
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3936118,4159150,4302729,4547270,4743446,4992407,5231528,5522005,5682997,5616021,5727515,5995183,6286925,6411938,6895632,7432803,7686209,8166184,8533044,9058138,9527547
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193436,194384,196017,197639,198422,202635,205344,208900,211366,213681,214759
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",23603,24614,25186,26157,26633,27895,28561,29564,29919,29247,29609,30842,32073,32443,34752,36681,37431,39091,40371,42391,44364
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",146051653,154078100,157408271,162817542,172414934,184510966,199065515,208227838,207251556,201128460,205618971,221053599,228766278,232742020,252297627,268466153,281817928,300011398,317530860,335525542,357795984
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",4293475,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5302733,5367069,5445543,5512111,5595218,5688583,5791874,5876763,5951394,6027231,6087762
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",34017,34998,35063,35608,37002,38674,40363,41100,40087,38377,38776,41187,42010,42224,45092,47194,48657,51050,53354,55668,58773
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",8003271,7465854,7739659,8035328,8560614,9047863,9912276,10393984,10707304,10456060,10643725,11092222,11344374,11508671,11769758,11882155,11953829,12291149,12700715,13511508,14672968
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","2","Population (persons) 1/",253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274654,274635,274657,274360,272634,270206,267212,265446,263994,263653,262945
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",31549,29193,29853,30520,31976,33469,36475,38171,39219,38154,38753,40389,41304,41947,43171,43974,44735,46304,48110,51247,55802
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2418320,2492079,2619814,2806043,3074824,3291119,3545170,3777164,4056164,4047307,4238735,4493791,4815002,4898132,5198887,5482816,5749030,6010302,6269999,6673082,7085059
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140815,144194,148670,151943,154682,157162,159446,161808,164206,165015,166831
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",20951,21333,22128,23370,25147,26092,27429,28629,30152,29209,30101,31165,32387,32237,33610,34886,36056,37145,38184,40439,42468
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",12536546,12920916,13498240,14155121,14911812,15517103,16357904,17162708,17932477,18111183,18853789,19976611,20206144,20398492,21362353,22686193,23270185,24372493,25262072,26551251,28623372
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","2","Population (persons) 1/",508896,512626,516818,520120,526789,531294,538643,545524,552627,558096,566712,570971,576421,580123,583461,590080,595744,601007,605253,610200,614312
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",24635,25205,26118,27215,28307,29206,30369,31461,32450,32452,33269,34987,35054,35162,36613,38446,39061,40553,41738,43512,46594
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",42271727,46821765,46554229,47418251,48557629,53276858,59526630,63336435,68997143,67133803,71847849,79592592,87541859,91483349,99783596,105462317,110193427,120999313,131662743,139167555,148993898
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",1264950,1321316,1347822,1376030,1410058,1453358,1515485,1577856,1633870,1682338,1727514,1780679,1834861,1883749,1943017,2002814,2062808,2115999,2166805,2228106,2295303
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",33418,35436,34540,34460,34437,36658,39279,40141,42229,39905,41590,44698,47710,48565,51355,52657,53419,57183,60764,62460,64913
"12540","Bakersfield, CA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",14211992,15170250,16077655,17151814,18423467,19842944,21461861,23254646,23941459,23714483,25788759,27316563,29004846,29769366,31756475,32468356,32277777,32902090,34028516,35559701,40309555
"12540","Bakersfield, CA (Metropolitan Statistical Area)","2","Population (persons) 1/",663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,841365,848651,854392,862727,869837,876548,881094,887316,893618,898898,901362
"12540","Bakersfield, CA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",21410,22422,23165,24013,25022,26084,27357,28950,29257,28567,30651,32188,33948,34506,36509,37041,36634,37080,38079,39559,44721
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",88401166,92334957,95821431,99686317,105352345,111168193,118228437,124181890,128715446,127149857,131152089,137797460,141955861,142981471,148796271,154823694,159604408,164954495,170321533,175811626,186759714
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","2","Population (persons) 1/",2557958,2575471,2596501,2614232,2630946,2644231,2658162,2667619,2679819,2696018,2715794,2734058,2755152,2769005,2781045,2791080,2795270,2799860,2802908,2803903,2800189
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",34559,35852,36904,38132,40044,42042,44478,46552,48031,47162,48292,50400,51524,51636,53504,55471,57098,58915,60766,62702,66695
"12620","Bangor, ME (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3605630,3756522,3924658,4058692,4214436,4390973,4559001,4749035,4993265,5130833,5159464,5363665,5406649,5417537,5588437,5780686,5886538,6085983,6307887,6541039,7175587
"12620","Bangor, ME (Metropolitan Statistical Area)","2","Population (persons) 1/",144937,146110,147298,148759,148814,149726,151446,152232,153372,153770,153864,153781,153392,153289,153288,152029,151419,151785,151798,151823,151655
"12620","Bangor, ME (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",24877,25710,26644,27284,28320,29327,30103,31196,32557,33367,33533,34879,35247,35342,36457,38024,38876,40096,41554,43083,47315
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",8133042,8915461,8948940,9190831,9833545,9857621,10279408,10583268,10874857,10776135,11175999,11679826,12205789,12375203,12993682,13631851,14185801,14664752,15335342,16041374,17142664
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","2","Population (persons) 1/",223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,215909,215389,214854,214609,214398,214015,213805,213856,213779,212923,213164
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",36466,39786,39699,40665,43848,44405,46717,48463,50099,49891,51763,54227,56810,57664,60605,63696,66349,68573,71735,75339,80420
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",18287703,19150754,19799599,20658861,22288750,24403082,26726231,28949113,31045048,30769822,31875137,33660792,34967423,35669783,37050615,37685225,38518597,39559224,41492067,42865338,45485693
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","2","Population (persons) 1/",730913,733925,738589,745536,753093,758706,795417,803339,811301,819405,827673,831605,836394,842270,847196,851614,857418,855002,855501,857403,858571
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",25020,26094,26807,27710,29596,32164,33600,36036,38266,37551,38512,40477,41807,42350,43733,44252,44924,46268,48500,49994,52978
"12980","Battle Creek, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3469055,3553372,3677694,3760315,3862879,3960724,4018000,4148403,4330535,4244268,4376648,4468042,4606751,4646972,4764740,5007572,5087973,5141505,5245821,5409544,5974947
"12980","Battle Creek, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",138014,138158,138580,138962,139443,138946,138291,137582,137313,136301,135953,135111,134755,134782,134845,134377,134343,134127,133858,133806,133580
"12980","Battle Creek, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",25136,25720,26538,27060,27702,28505,29055,30152,31538,31139,32192,33069,34186,34478,35335,37265,37873,38333,39189,40428,44729
"13020","Bay City, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2916279,2975726,2963820,3033850,3103979,3144488,3254007,3352534,3508060,3490053,3634680,3754847,3803280,3816791,3904543,4062096,4139382,4178901,4383922,4484468,4892672
"13020","Bay City, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",110192,109836,109861,109559,109453,109165,108711,108132,108320,107913,107678,107423,106980,106817,106073,105271,104421,104085,103674,102964,102387
"13020","Bay City, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",26465,27092,26978,27691,28359,28805,29933,31004,32386,32341,33755,34954,35551,35732,36810,38587,39641,40149,42286,43554,47786
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",9189725,9572194,9737141,10145532,10317241,10949090,11701084,12288665,13290923,13139254,13876426,14495902,15222177,14895563,16108497,16605965,16596768,17090248,17384657,17693891,18501359
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",384759,382708,383004,383208,384438,385490,379119,382330,385248,387146,389257,390924,389654,391255,391713,394908,396658,398139,393037,392197,391310
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",23884,25012,25423,26475,26837,28403,30864,32142,34500,33939,35648,37081,39066,38071,41123,42050,41842,42925,44232,45115,47281
"13220","Beckley, WV (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2632223,2817916,2919916,2927236,3008745,3162913,3361965,3350052,3605683,3697262,3865402,4254692,4311701,4199595,4282246,4342659,4174247,4398600,4603699,4765572,4934350
"13220","Beckley, WV (Metropolitan Statistical Area)","2","Population (persons) 1/",126525,125318,125672,125519,125145,124570,124378,124566,124550,124816,124950,125290,125157,124413,123412,122142,120503,118726,117323,116159,114982
"13220","Beckley, WV (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",20804,22486,23234,23321,24042,25391,27030,26894,28950,29622,30936,33959,34450,33755,34699,35554,34640,37048,39240,41026,42914
"13380","Bellingham, WA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",4150206,4473800,4543671,4896223,5313673,5660645,6143150,6727407,7188087,7079611,7364364,7757550,8278672,8242933,8717968,9192513,9568258,10051070,10781713,11403474,12194566
"13380","Bellingham, WA (Metropolitan Statistical Area)","2","Population (persons) 1/",167696,171172,174904,177851,181756,185450,188926,192837,196708,199865,201549,203503,204902,206139,208240,211942,216486,221417,225098,228675,231016
"13380","Bellingham, WA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",24748,26136,25978,27530,29235,30524,32516,34886,36542,35422,36539,38120,40403,39987,41865,43373,44198,45394,47898,49868,52787
"13460","Bend, OR (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3222454,3502790,3622928,3852722,4160923,4654531,5336025,5655946,5903707,5452070,5511958,5897282,6364028,6839354,7387538,8295416,9082781,9861399,10638095,11350045,12351409
"13460","Bend, OR (Metropolitan Statistical Area)","2","Population (persons) 1/",116566,120526,125247,129094,133756,140567,148149,152633,156820,157345,157744,159683,161408,165385,169631,174392,180819,186971,191770,197417,201769
"13460","Bend, OR (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",27645,29063,28926,29844,31108,33113,36018,37056,37646,34650,34942,36931,39428,41354,43551,47568,50231,52743,55473,57493,61216
"13740","Billings, MT (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3835325,3987579,4086734,4324783,4722304,5085431,5476447,5945950,6363306,6223375,6548868,7023353,7662521,7757799,8293855,8558198,8564369,9067702,9456345,9848874,10412108
"13740","Billings, MT (Metropolitan Statistical Area)","2","Population (persons) 1/",147378,148858,150320,151913,153672,156025,158157,160358,163165,165575,167580,169047,170993,173445,175047,176481,177895,179520,180268,181723,183799
"13740","Billings, MT (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",26024,26788,27187,28469,30730,32594,34627,37079,38999,37586,39079,41547,44812,44728,47381,48494,48143,50511,52457,54197,56649
"13780","Binghamton, NY (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",6552614,6653612,6768903,6815779,7111026,7177813,7628846,8105852,8581155,8692957,8952263,9150929,9396191,9435526,9583425,9803880,9848406,10329711,10533241,10873870,11783668
"13780","Binghamton, NY (Metropolitan Statistical Area)","2","Population (persons) 1/",252189,252580,253430,252932,252605,252088,252441,252442,252527,252171,251486,250256,248986,248081,247150,245371,243433,241914,240737,238958,237324
"13780","Binghamton, NY (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",25983,26343,26709,26947,28151,28473,30220,32110,33981,34472,35597,36566,37738,38034,38776,39955,40456,42700,43754,45505,49652
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",29086960,29839216,30748093,32009711,34648938,36825246,39334319,41021619,42124192,40338997,41972662,43626635,45896274,45842549,47764875,50104352,50935284,53456370,55926306,58020400,60136271
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",982704,988718,993201,1001781,1009575,1017818,1030584,1039561,1049266,1057924,1061728,1064114,1067725,1073110,1076373,1080114,1083318,1086149,1088545,1090916,1091921
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",29599,30180,30959,31953,34320,36181,38167,39461,40146,38130,39532,40998,42985,42719,44376,46388,47018,49216,51377,53185,55074
"13900","Bismarck, ND (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2544971,2738598,2803987,3003951,3201613,3419003,3645322,3944862,4264200,4442921,4859072,5418751,6140998,6450891,7060038,7149273,7080476,7101249,7407895,7662959,7960462
"13900","Bismarck, ND (Metropolitan Statistical Area)","2","Population (persons) 1/",96917,97253,98254,99128,100134,101858,103713,105648,107210,109009,111119,112889,115728,119302,122233,125423,127313,128246,128521,129068,129641
"13900","Bismarck, ND (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",26259,28160,28538,30304,31973,33566,35148,37340,39774,40757,43729,48001,53064,54072,57759,57001,55615,55372,57640,59371,61404
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","1","Personal income (thousands of dollars)",3193060,3342172,3460034,3637378,3817097,4018021,4253600,4511579,4648263,4666627,4696167,4892255,5095615,5160021,5434693,5675254,5811100,6006498,6316436,6408780,6805559
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","2","Population (persons) 1/",151553,153348,153326,154009,154647,156402,158277,160085,161247,162385,163139,163471,164176,165325,165784,165853,166746,166714,167620,167681,167244
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *","3","Per capita personal income (dollars) 2/",21069,21795,22567,23618,24683,25690,26874,28182,28827,28738,28786,29927,31038,31211,32782,34219,34850,36029,37683,38220,40692
"14010","Bloomington, IL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",4534227,4903592,5051363,5238481,5413528,5497950,5973715,6241272,6599839,6599555,6855885,7243433,7400151,7643206,7619772,7989895,8122579,8179714,8498141,8522494,9357176
